participant,item,name,rank
32,264,Elvin Hayes,47
32,281,Freddie Lewis,17
32,291,Geoff Petrie,22
32,316,Gus Johnson,2
32,318,Guy Rodgers,32
32,319,Hakeem Olajuwon,46
32,340,Jack Marin,24
32,368,Jay Vincent,50
32,382,Jerry Lucas,53
32,428,Johnny Green,4
32,430,Johnny Moore,30
32,443,Julius Erving,38
32,449,K. C. Jones,8
32,457,Ken Sears,18
32,504,Larry Kenon,11
32,505,Larry Nance,9
32,525,Lou Hudson,3
32,532,Lucius Allen,23
32,538,Mack Calvin,14
32,539,Magic Johnson,45
32,556,Marques Johnson,55
32,564,Maurice Lucas,51
32,583,Micheal Ray Richardson,58
32,607,Nate Archibald,43
32,624,Norm Nixon,7
32,630,Oscar Robertson,39
32,648,Phil Chenier,10
32,652,Purvis Short,44
32,660,Ralph Sampson,61
32,673,Reggie Theus,36
32,678,Richie Guerin,31
32,683,Rick Mahorn,15
32,700,Rolando Blackman,5
32,716,Sam Lacey,27
32,739,Sleepy Floyd,29
32,774,Tom Gola,16
32,779,Tom Van Arsdale,26
32,807,Walter Davis,57
32,808,Walter Dukes,35
32,819,Willie Naulls,33
32,822,Wilt Chamberlain,40
32,823,Woody Sauldsberry,20
32,832,Zelmo Beaty,34
33,78,Bob Dandridge,23
33,83,Bob Love,5
33,110,Buck Williams,6
33,136,Charles Thomas Scott,11
33,138,Chet Walker,8
33,188,Dave Cowens,12
33,189,Dave DeBusschere,13
33,195,David Thompson,21
33,252,Earl Monroe,20
33,260,Elgin Baylor,15
33,264,Elvin Hayes,19
33,279,Fred Brown,22
33,316,Gus Johnson,25
33,317,Gus Williams,4
33,428,Johnny Green,3
33,443,Julius Erving,26
33,449,K. C. Jones,10
33,450,Kareem Abdul-Jabbar,27
33,525,Lou Hudson,24
33,564,Maurice Lucas,1
33,583,Micheal Ray Richardson,2
33,607,Nate Archibald,18
33,624,Norm Nixon,9
33,630,Oscar Robertson,14
33,647,Pete Maravich,16
33,660,Ralph Sampson,7
33,805,Walt Frazier,17
34,65,Bill Bridges,26
34,78,Bob Dandridge,7
34,83,Bob Love,3
34,87,Bob Rule,18
34,122,Campy Russell,25
34,156,Clyde Drexler,14
34,227,Dick Van Arsdale,19
34,234,Dominique Wilkins,11
34,235,Don Buse,22
34,260,Elgin Baylor,13
34,264,Elvin Hayes,9
34,289,Gene Shue,17
34,292,George Gervin,16
34,333,Isiah Thomas,12
34,342,Jack Twyman,23
34,374,Jeff Mullins,21
34,443,Julius Erving,2
34,525,Lou Hudson,5
34,556,Marques Johnson,1
34,564,Maurice Lucas,6
34,603,Moses Malone,15
34,607,Nate Archibald,8
34,678,Richie Guerin,24
34,744,Spencer Haywood,4
34,805,Walt Frazier,10
