participant,nBlocks,pennMatrices,listSort,cardSort
582,8,21.0,121.89,114.06
583,8,18.0,108.06,109.62
584,8,20.0,108.06,128.03
585,8,20.0,117.39,129.94
586,8,17.0,96.99,108.1
587,8,15.0,117.39,119.18
588,8,19.0,117.39,114.23
589,8,17.0,108.06,122.94
590,8,14.0,108.06,112.12
591,8,17.0,126.18,103.93
592,8,14.0,112.89,133.36
593,8,20.0,126.18,102.9
594,8,20.0,117.39,138.87
595,8,17.0,108.06,104.54
596,8,13.0,100.43,97.19
597,8,20.0,108.06,105.69
598,8,8.0,108.06,110.66
599,8,23.0,126.18,125.81
600,8,7.0,100.43,107.69
601,8,19.0,104.06,112.4
602,8,7.0,88.68,113.09
603,8,18.0,117.39,118.77
604,8,21.0,100.43,114.23
605,8,20.0,100.43,138.87
606,8,18.0,93.9,117.19
607,8,12.0,112.89,103.33
608,8,23.0,117.39,124.56
609,8,22.0,130.38,93.24
610,8,20.0,117.39,121.3
611,8,14.0,108.06,110.97
612,8,11.0,100.43,125.01
613,8,22.0,130.38,112.65
614,8,12.0,104.06,118.62
615,8,12.0,112.89,112.78
616,8,20.0,126.18,107.52
617,8,19.0,117.39,116.2
618,8,9.0,108.06,107.66
619,8,22.0,117.39,105.89
620,8,24.0,108.06,97.94
621,8,17.0,108.06,126.59
622,8,18.0,126.18,119.81
623,8,14.0,100.43,127.11
624,8,22.0,121.89,107.04
625,8,18.0,126.18,108.07
626,8,16.0,133.93,116.08
627,8,21.0,108.06,105.0
628,8,18.0,100.43,102.03
629,8,22.0,112.89,118.45
630,8,14.0,112.89,100.95
631,8,23.0,126.18,132.18
632,8,15.0,117.39,109.67
633,8,8.0,88.68,85.01
634,8,8.0,112.89,105.06
635,8,15.0,130.38,118.84
636,8,16.0,100.43,122.83
637,8,19.0,121.89,111.26
638,8,20.0,112.89,103.82
639,8,10.0,100.43,101.77
640,8,16.0,117.39,107.01
641,8,15.0,104.06,113.96
642,8,22.0,108.06,107.65
643,8,21.0,121.89,122.18
644,8,18.0,108.06,126.59
645,8,19.0,117.39,126.52
646,8,17.0,100.43,105.24
647,8,14.0,96.99,103.23
648,8,19.0,100.43,142.78
649,8,16.0,104.06,123.99
650,8,23.0,104.06,129.84
651,8,21.0,108.06,126.52
652,8,21.0,117.39,124.8
653,8,8.0,117.39,108.18
654,8,18.0,126.18,109.36
655,8,19.0,112.89,118.71
656,8,21.0,112.89,126.71
657,8,19.0,108.06,116.47
658,8,18.0,112.89,112.2
659,8,18.0,117.39,129.78
660,8,20.0,100.43,132.18
661,8,8.0,108.06,103.68
662,8,22.0,121.89,99.49
663,8,10.0,117.39,122.33
664,8,19.0,112.89,125.88
665,8,10.0,108.06,115.16
666,8,21.0,100.43,118.76
667,8,15.0,93.9,92.58
668,8,15.0,108.06,125.86
669,8,14.0,117.39,124.42
670,8,17.0,104.06,109.8
671,8,17.0,100.43,126.06
672,8,12.0,117.39,128.95
