participant,trial,alternative,cue,present,searchOrderWithin,searchOrderAll,searchTime
1,69,1,1,0,1,1,1.872000000000071
1,69,2,1,1,1,2,3.3510000000001128
1,70,1,1,1,1,1,2.30600000000004
1,70,2,1,0,1,2,5.201000000000022
1,71,1,1,0,1,1,2.048000000000002
1,71,2,1,1,1,2,3.9200000000000728
1,72,1,1,0,1,1,1.9529999999999745
1,72,2,1,1,1,2,3.606999999999971
1,73,1,1,1,1,1,3.8869999999999436
1,73,1,4,1,2,3,9.423000000000002
1,73,2,1,1,1,2,5.375
1,73,2,4,0,2,4,10.871000000000095
1,74,1,1,1,1,1,1.90300000000002
1,74,1,4,0,2,4,9.764000000000124
1,74,2,1,1,1,2,4.245000000000118
1,74,2,4,1,2,3,8.222999999999956
1,75,1,1,0,1,1,2.4489999999998417
1,75,2,1,1,1,2,4.433999999999969
1,76,1,1,1,1,1,2.7339999999999236
1,76,2,1,0,1,2,4.820999999999913
1,77,1,1,1,1,1,1.4710000000000036
1,77,2,1,0,1,2,2.9249999999999545
1,78,1,1,0,1,1,3.394999999999982
1,78,2,1,1,1,2,5.001999999999953
1,79,1,1,0,1,1,2.2949999999998454
1,79,1,4,0,2,4,12.049999999999955
1,79,2,1,0,1,2,6.086000000000013
1,79,2,4,0,2,3,10.59699999999998
1,80,1,1,1,1,1,2.5300000000002
1,80,1,3,0,3,6,15.859000000000151
1,80,1,4,0,2,3,8.233000000000175
1,80,2,1,1,1,2,5.0490000000002055
1,80,2,2,0,4,7,20.016000000000076
1,80,2,3,0,3,5,14.009000000000015
1,80,2,4,1,2,4,9.632000000000062
1,81,1,1,0,1,1,2.3740000000000236
1,81,1,2,0,4,7,16.542000000000144
